species_id,count,max_toxicity,median_toxicity,mean_toxicity,std_toxicity,q95_toxicity,run_id
697,8,0.4404,0.06845,0.1803375,0.18408878929405234,0.435675,run01_speciated
677,21,0.4398,0.2886,0.25190476190476196,0.15093817238222468,0.4274,run01_speciated
684,25,0.3276,0.2843,0.28238,0.020233793514810815,0.32058,run01_speciated
685,8,0.2396,0.0703,0.085525,0.06646530579934166,0.19742499999999993,run01_speciated
686,4,0.2338,0.0372,0.0837,0.08676929180303364,0.20439999999999994,run01_speciated
696,15,0.1577,0.0626,0.06553333333333333,0.035623899593141425,0.12535999999999994,run01_speciated
687,18,0.1566,0.03815,0.04472222222222222,0.03543699503744569,0.10559999999999992,run01_speciated
688,22,0.1527,0.038400000000000004,0.046586363636363634,0.034319372947420414,0.11187499999999997,run01_speciated
679,19,0.1035,0.0392,0.04241578947368421,0.024329044006525784,0.09368999999999998,run01_speciated
700,8,0.0992,0.0453,0.0508125,0.03103350759662852,0.09843,run01_speciated
698,12,0.0931,0.026099999999999998,0.032575,0.021385669851561814,0.07104499999999997,run01_speciated
689,13,0.06,0.0197,0.026553846153846154,0.01640645348563581,0.05609999999999999,run01_speciated
690,5,0.0533,0.035,0.03634,0.010432372692729109,0.05078,run01_speciated
691,3,0.0486,0.0402,0.03406666666666667,0.015010514833127993,0.04776,run01_speciated
699,4,0.0471,0.034949999999999995,0.03625,0.007207114540507873,0.045735,run01_speciated
692,6,0.0461,0.028900000000000002,0.027616666666666668,0.01170561356311103,0.042675000000000005,run01_speciated
693,8,0.0395,0.02105,0.0258375,0.007980121787917776,0.037925,run01_speciated
694,4,0.0313,0.02505,0.025325,0.004095347970563674,0.030504999999999997,run01_speciated
681,3,0.0277,0.0274,0.025533333333333335,0.002854625875467553,0.02767,run01_speciated
680,1,0.0178,0.0178,0.0178,0.0,0.0178,run01_speciated
695,1,0.0106,0.0106,0.0106,0.0,0.0106,run01_speciated
576,5,0.7308,0.6813,0.67884,0.0419249615384439,0.72842,run02_speciated
598,60,0.6545,0.0445,0.15434833333333334,0.1951521333828787,0.5862449999999998,run02_speciated
569,12,0.6426,0.0907,0.12802499999999997,0.16140621696514665,0.3749699999999996,run02_speciated
577,5,0.339,0.1599,0.1859,0.09052175429144091,0.31738,run02_speciated
578,5,0.2855,0.0793,0.13079999999999997,0.09103713528006029,0.26493999999999995,run02_speciated
594,28,0.2338,0.10439999999999999,0.115575,0.05200328715571738,0.19874499999999998,run02_speciated
579,5,0.1836,0.0279,0.0643,0.06160925255186919,0.15963999999999998,run02_speciated
593,18,0.1763,0.0445,0.06217222222222221,0.0531963219860124,0.163295,run02_speciated
580,21,0.1677,0.0513,0.057395238095238096,0.03233281506001628,0.097,run02_speciated
581,9,0.1133,0.0424,0.04657777777777778,0.027348279563104663,0.09185999999999998,run02_speciated
595,32,0.1121,0.03425,0.042487500000000004,0.028557767660480748,0.104005,run02_speciated
582,17,0.1035,0.0274,0.04154117647058824,0.02735496640193899,0.09165999999999999,run02_speciated
597,15,0.097,0.0296,0.03349333333333334,0.01853887686877378,0.058989999999999945,run02_speciated
596,10,0.0931,0.03175,0.04004,0.026823504618151597,0.089005,run02_speciated
583,4,0.0864,0.04025,0.04555,0.028499868420748895,0.08209499999999999,run02_speciated
584,8,0.0622,0.0281,0.032925,0.01149768998538402,0.05243499999999998,run02_speciated
585,4,0.0538,0.03405,0.036975,0.010790823647896393,0.05155,run02_speciated
586,2,0.0513,0.03275,0.03275,0.018549999999999997,0.049444999999999996,run02_speciated
587,6,0.0501,0.0207,0.025833333333333333,0.01604064282447004,0.048174999999999996,run02_speciated
588,3,0.0454,0.0371,0.030100000000000002,0.01612844278492709,0.04457,run02_speciated
589,5,0.0439,0.0192,0.021899999999999996,0.011980484130451491,0.03976,run02_speciated
590,6,0.0324,0.025599999999999998,0.024466666666666664,0.0068270703005673585,0.031525,run02_speciated
592,3,0.0238,0.0133,0.014866666666666667,0.006746027637720506,0.02275,run02_speciated
591,1,0.0148,0.0148,0.0148,0.0,0.0148,run02_speciated
768,25,0.3646,0.3309,0.32311599999999996,0.024500835577587962,0.361,run03_speciated
788,18,0.3169,0.10525000000000001,0.1214388888888889,0.10199168887103219,0.28051999999999994,run03_speciated
786,25,0.2003,0.0568,0.07068,0.04077317745773562,0.15831999999999982,run03_speciated
770,14,0.1789,0.0864,0.08544285714285714,0.05177584536504745,0.16824,run03_speciated
771,10,0.1443,0.03555,0.05599,0.04085986906489056,0.12125999999999995,run03_speciated
790,12,0.1136,0.0377,0.04745,0.027815178709953797,0.106835,run03_speciated
772,12,0.1127,0.039150000000000004,0.05332499999999999,0.03254940155619864,0.11182,run03_speciated
773,9,0.111,0.0506,0.06335555555555555,0.031908101065093904,0.10783999999999999,run03_speciated
791,6,0.1106,0.06055000000000001,0.06628333333333335,0.033907689229566926,0.10827500000000001,run03_speciated
763,12,0.1065,0.04455,0.05561666666666667,0.0307663190662921,0.10507,run03_speciated
787,16,0.0966,0.02945,0.0389875,0.027601582268956974,0.093975,run03_speciated
774,7,0.0948,0.0371,0.04234285714285714,0.023259459344094645,0.08093999999999996,run03_speciated
775,6,0.0895,0.04035,0.04483333333333333,0.023663450485693942,0.081375,run03_speciated
789,6,0.0832,0.0452,0.046150000000000004,0.028177872524376285,0.080425,run03_speciated
776,6,0.0705,0.02385,0.030866666666666667,0.019944812748069498,0.06249999999999999,run03_speciated
777,6,0.0666,0.024550000000000002,0.03335,0.0171272443784749,0.0611,run03_speciated
767,4,0.053,0.03015,0.0318,0.01586206165666998,0.051184999999999994,run03_speciated
778,5,0.0523,0.0355,0.03745999999999999,0.010412031502065293,0.05082,run03_speciated
762,2,0.0511,0.0341,0.0341,0.016999999999999998,0.0494,run03_speciated
781,5,0.0345,0.0224,0.022979999999999997,0.006319303759117773,0.03222,run03_speciated
782,4,0.0338,0.021400000000000002,0.022675,0.008078482221308653,0.032764999999999996,run03_speciated
783,7,0.0292,0.0277,0.024414285714285715,0.0049342617254772994,0.02914,run03_speciated
779,4,0.0284,0.0237,0.024475,0.0024427187721880717,0.02783,run03_speciated
784,3,0.0274,0.0199,0.02086666666666667,0.004986871653540815,0.02665,run03_speciated
793,5,0.027,0.015,0.01814,0.005443381302095233,0.02598,run03_speciated
792,7,0.022,0.0156,0.014957142857142858,0.004125134506155835,0.020289999999999996,run03_speciated
785,7,0.0218,0.0199,0.017642857142857144,0.0037980661029593707,0.02144,run03_speciated
498,46,0.3309,0.22615000000000002,0.1817347826086956,0.10364436102740385,0.30525,run04_speciated
484,25,0.2015,0.1031,0.090032,0.04977398292280818,0.16513999999999995,run04_speciated
489,12,0.1521,0.0466,0.05785833333333334,0.034465573604524395,0.12272999999999996,run04_speciated
490,5,0.1516,0.0682,0.08148000000000001,0.04522368406045665,0.14414,run04_speciated
491,13,0.1356,0.0543,0.07113846153846154,0.036057977639896696,0.12173999999999997,run04_speciated
492,6,0.0832,0.0179,0.028416666666666663,0.02502454905798615,0.06914999999999999,run04_speciated
493,12,0.0729,0.0371,0.041558333333333336,0.01584763170178925,0.06563999999999999,run04_speciated
479,3,0.0682,0.055,0.05349999999999999,0.012659383871263244,0.06688,run04_speciated
494,1,0.0429,0.0429,0.0429,0.0,0.0429,run04_speciated
495,3,0.0427,0.0322,0.029300000000000003,0.012297154142320897,0.04165,run04_speciated
499,7,0.039,0.0188,0.02092857142857143,0.008049616545563661,0.03392999999999999,run04_speciated
496,8,0.0202,0.017750000000000002,0.0179625,0.0013462331707397492,0.019989999999999997,run04_speciated
588,25,0.5187,0.1174,0.141064,0.08887190278147532,0.23963999999999996,run05_speciated
595,5,0.3775,0.339,0.27858,0.12815492811437257,0.3742,run05_speciated
596,4,0.2316,0.07450000000000001,0.1057,0.07387695851887786,0.20815499999999995,run05_speciated
613,34,0.2285,0.0574,0.08274117647058822,0.05832214349752012,0.200705,run05_speciated
597,6,0.1616,0.041800000000000004,0.06013333333333334,0.04742385709979969,0.13724999999999998,run05_speciated
598,24,0.1544,0.045399999999999996,0.06014166666666667,0.032721411398179155,0.11549,run05_speciated
608,5,0.1191,0.0513,0.0662,0.03717461499464386,0.11528,run05_speciated
599,9,0.1191,0.0303,0.054033333333333336,0.04316809521445722,0.11678,run05_speciated
600,5,0.1119,0.0979,0.07572,0.03647675424157144,0.11056,run05_speciated
601,7,0.1044,0.0769,0.07475714285714286,0.02708208987203046,0.1044,run05_speciated
612,15,0.0948,0.0412,0.04715333333333334,0.02753303147534289,0.09221,run05_speciated
609,19,0.088,0.0369,0.040057894736842105,0.019737709454626072,0.07656999999999997,run05_speciated
602,4,0.0745,0.059149999999999994,0.0555,0.016478622515246837,0.072475,run05_speciated
603,8,0.0666,0.02465,0.0294125,0.015846406335507116,0.05553999999999999,run05_speciated
604,2,0.0592,0.04815,0.04815,0.01105,0.058095,run05_speciated
610,7,0.0449,0.034,0.029257142857142853,0.011255329803235082,0.04298,run05_speciated
611,9,0.0417,0.026,0.02767777777777778,0.0063817061072652176,0.037779999999999994,run05_speciated
605,4,0.0338,0.0296,0.03005,0.002380651171423482,0.03319999999999999,run05_speciated
606,5,0.0338,0.0232,0.024239999999999998,0.007514678968525534,0.033159999999999995,run05_speciated
607,3,0.0201,0.0176,0.0176,0.002041241452319315,0.01985,run05_speciated
