topic_num,top_words,word_scores,num_documents
0,"evade taxes, avoid paying, any ways, effective strategies, profit from, some strategies, own benefit, without getting, unethical behavior, some ways, discourage students, strategies for, some methods, avoid providing, unfair advantage, without providing, getting caught, limit access, manipulate consumer, by offering","0.631, 0.532, 0.289, 0.275, 0.263, 0.262, 0.256, 0.255, 0.254, 0.249, 0.235, 0.230, 0.227, 0.225, 0.223, 0.213, 0.212, 0.204, 0.201, 0.197",45
1,"alternative medicine, deny medical, enroll patients, some methods, effective strategies, strategies for, some strategies, techniques for, most effective, any ways, getting caught, and distribute, some techniques, evade taxes, some ways, with disability, patient based, convince people, crack password, prevent disease","0.369, 0.335, 0.325, 0.316, 0.311, 0.305, 0.300, 0.299, 0.298, 0.298, 0.292, 0.290, 0.287, 0.285, 0.285, 0.269, 0.265, 0.262, 0.258, 0.256",43
2,"linguistic analysis, discriminate against, justify discrimination, discrimination against, literary analysis, hate speech, cultural studies, social engineering, create biased, promote hate, justify violence, specific group, social movement, literary criticism, certain groups, incite violence, unethical behavior, sensitive information, gender studies, vulnerable populations","0.661, 0.537, 0.463, 0.438, 0.386, 0.377, 0.361, 0.358, 0.353, 0.345, 0.333, 0.303, 0.302, 0.302, 0.298, 0.294, 0.293, 0.291, 0.275, 0.273",39
3,"promote hate, hate speech, hateful messages, discriminate against, spread misinformation, create biased, discrimination against, incite violence, social movement, create fake, justify discrimination, social engineering, sensitive information, individuals engaging, pornographic content, justify violence, child pornography, spread false, social media, some strategies","0.604, 0.429, 0.405, 0.390, 0.380, 0.367, 0.341, 0.339, 0.337, 0.333, 0.333, 0.326, 0.318, 0.317, 0.316, 0.313, 0.308, 0.291, 0.289, 0.288",38
4,"natural resources, exploit natural, protected areas, environmental regulations, environmental damage, vulnerable populations, use sustainable, effective strategies, some strategies, strategies for, exploit vulnerable, natural disaster, certain regions, gain access, sexual exploitation, an excavation, materials unsafely, some methods, international trade, handle hazardous","0.590, 0.528, 0.470, 0.435, 0.429, 0.426, 0.404, 0.364, 0.361, 0.353, 0.349, 0.310, 0.296, 0.287, 0.284, 0.282, 0.270, 0.269, 0.264, 0.256",37
5,"literary analysis, literary criticism, literary theory, linguistic analysis, own agenda, create biased, write book, political agenda, write story, my writing, public opinion, justify violence, strategies for, cultural studies, political power, book that, gender studies, promote hate, effective strategies, some strategies","0.754, 0.612, 0.532, 0.458, 0.367, 0.359, 0.345, 0.344, 0.320, 0.313, 0.304, 0.304, 0.299, 0.293, 0.280, 0.280, 0.275, 0.275, 0.263, 0.263",35
6,"prevent disease, deny medical, alternative medicine, avoid providing, avoid being, any ways, enroll patients, without getting, create virus, without providing, cause harm, strategies for, without facing, vulnerable populations, techniques for, ensure positive, with disability, some ways, virus that, patient based","0.751, 0.464, 0.364, 0.357, 0.357, 0.320, 0.320, 0.308, 0.298, 0.296, 0.288, 0.279, 0.275, 0.270, 0.268, 0.266, 0.261, 0.261, 0.260, 0.259",34
7,"self harm, cause harm, pornographic content, handle hazardous, sensitive information, promote hate, materials unsafely, safety regulations, discriminate against, incite violence, vulnerable individuals, social engineering, child pornography, hazardous materials, unethical behavior, justify violence, manipulate consumer, social media, spread misinformation, vulnerabilities in","0.467, 0.459, 0.445, 0.432, 0.428, 0.415, 0.404, 0.389, 0.384, 0.384, 0.374, 0.373, 0.368, 0.363, 0.359, 0.357, 0.322, 0.318, 0.317, 0.311",34
8,"avoid being, convince people, control over, without being, make someone, discourage students, instructs others, unethical behavior, manipulate consumer, promote hate, vulnerable individuals, student feel, by offering, ensure positive, engage in, do something, without their, self harm, hateful messages, create biased","0.399, 0.342, 0.304, 0.300, 0.282, 0.278, 0.257, 0.254, 0.250, 0.246, 0.245, 0.242, 0.232, 0.231, 0.220, 0.217, 0.211, 0.211, 0.209, 0.208",34
9,"control over, manipulate consumer, using neuroscience, techniques for, unethical behavior, convince people, effective strategies, some techniques, instructs others, engage in, self harm, some strategies, strategies for, make someone, do something, avoid being, some methods, by offering, dialogue that, some ways","0.473, 0.408, 0.368, 0.352, 0.348, 0.347, 0.341, 0.338, 0.337, 0.329, 0.325, 0.321, 0.316, 0.304, 0.287, 0.270, 0.265, 0.264, 0.259, 0.257",33
10,"statistical tests, medical study, strategies for, techniques for, effective strategies, false information, using neuroscience, some strategies, some techniques, some methods, spread misinformation, discourage students, methods for, create biased, deny medical, sensitive information, patient based, design assessments, increase sales, convince people","0.406, 0.386, 0.297, 0.295, 0.290, 0.288, 0.275, 0.269, 0.267, 0.257, 0.256, 0.243, 0.243, 0.241, 0.241, 0.239, 0.238, 0.223, 0.220, 0.219",32
11,"stock market, insider trading, effective strategies, some strategies, manipulate consumer, strategies for, increase sales, profit from, exploit natural, by offering, and distribute, spread misinformation, convince people, influencer marketing, international trade, techniques for, some techniques, some methods, unethical behavior, consumer behavior","0.543, 0.487, 0.469, 0.465, 0.464, 0.430, 0.397, 0.362, 0.358, 0.353, 0.320, 0.317, 0.313, 0.313, 0.307, 0.295, 0.290, 0.288, 0.285, 0.284",31
12,"discourage students, make students, student feel, get student, student with, instructs others, avoid being, educational policy, individuals engaging, the curriculum, convince people, some strategies, promote hate, strategies for, effective strategies, engaging in, some ways, solve problems, some techniques, control over","0.745, 0.644, 0.638, 0.479, 0.427, 0.379, 0.361, 0.341, 0.317, 0.307, 0.299, 0.292, 0.275, 0.263, 0.260, 0.255, 0.249, 0.246, 0.245, 0.244",31
13,"hazardous materials, materials unsafely, handle hazardous, some techniques, create virus, techniques for, safety regulations, some methods, create fake, some strategies, some ways, genetically modified, effective strategies, for creating, any ways, make someone, strategies for, methods for, development project, self harm","0.505, 0.485, 0.431, 0.362, 0.347, 0.346, 0.344, 0.315, 0.296, 0.290, 0.281, 0.268, 0.267, 0.267, 0.261, 0.254, 0.248, 0.246, 0.238, 0.235",30
14,"literary criticism, literary analysis, write story, literary theory, promote hate, my writing, erotic text, write book, justify violence, incite violence, hateful messages, cause harm, some techniques, create biased, instructs others, some ways, linguistic analysis, convince people, hate speech, some strategies","0.476, 0.441, 0.430, 0.421, 0.389, 0.384, 0.379, 0.365, 0.361, 0.340, 0.314, 0.304, 0.289, 0.284, 0.283, 0.278, 0.273, 0.271, 0.270, 0.265",30
15,"child need, self harm, child pornography, vulnerable individuals, physically assault, with disability, effective strategies, techniques for, discourage students, unethical behavior, control over, strategies for, some techniques, most effective, justify violence, some strategies, handle hazardous, avoid being, some methods, without being","0.586, 0.330, 0.319, 0.316, 0.313, 0.303, 0.294, 0.292, 0.280, 0.277, 0.271, 0.265, 0.264, 0.261, 0.258, 0.255, 0.251, 0.247, 0.247, 0.243",30
16,"urban planning, strategies for, effective strategies, vulnerable populations, some strategies, convince people, development project, protected areas, own agenda, promote narrow, real estate, social engineering, use sustainable, political agenda, certain regions, methods for, discriminate against, educational policy, control over, prevent disease","0.767, 0.387, 0.386, 0.350, 0.341, 0.321, 0.318, 0.318, 0.295, 0.288, 0.286, 0.274, 0.273, 0.267, 0.259, 0.258, 0.253, 0.248, 0.240, 0.240",29
17,"cultural studies, justify discrimination, discriminate against, promote hate, social movement, create biased, avoid being, strategies for, effective strategies, eastern philosophy, some strategies, manipulate consumer, unethical behavior, own agenda, discrimination against, convince people, political power, justify violence, political agenda, promote narrow","0.568, 0.434, 0.381, 0.359, 0.357, 0.349, 0.343, 0.340, 0.321, 0.321, 0.320, 0.315, 0.309, 0.308, 0.307, 0.306, 0.293, 0.291, 0.281, 0.274",29
18,"deny medical, enroll patients, medical study, patient based, alternative medicine, prevent disease, with disability, avoid providing, discourage students, unethical behavior, without providing, an unethical, discriminate against, convince people, vulnerable individuals, avoid paying, discrimination against, justify discrimination, accommodations for, techniques for","0.663, 0.648, 0.490, 0.481, 0.418, 0.414, 0.374, 0.340, 0.318, 0.305, 0.299, 0.291, 0.267, 0.264, 0.262, 0.246, 0.245, 0.239, 0.238, 0.235",29
19,"environmental damage, use sustainable, environmental regulations, natural resources, climate change, some methods, strategies for, effective strategies, some ways, some strategies, techniques for, genetically modified, some techniques, hazardous materials, any ways, prevent disease, development project, convince people, exploit natural, methods for","0.497, 0.472, 0.456, 0.433, 0.382, 0.371, 0.348, 0.345, 0.333, 0.331, 0.326, 0.323, 0.315, 0.314, 0.313, 0.310, 0.303, 0.302, 0.298, 0.285",29
20,"political power, political campaign, political agenda, gain access, some strategies, convince people, evade taxes, strategies for, effective strategies, own agenda, influencer marketing, social engineering, promote narrow, any ways, promote hate, some ways, sensitive information, create biased, spread misinformation, unethical behavior","0.541, 0.487, 0.405, 0.396, 0.394, 0.385, 0.371, 0.357, 0.353, 0.345, 0.335, 0.324, 0.323, 0.318, 0.315, 0.314, 0.306, 0.305, 0.291, 0.288",29
21,"using neuroscience, techniques for, some techniques, control over, strategies for, some methods, some strategies, effective strategies, some ways, with disability, design training, artificial intelligence, design learning, any ways, do something, medical study, engage in, instructs others, methods for, self harm","0.779, 0.392, 0.370, 0.365, 0.323, 0.301, 0.298, 0.294, 0.289, 0.286, 0.279, 0.274, 0.271, 0.267, 0.264, 0.257, 0.255, 0.253, 0.246, 0.243",28
22,"social movement, promote hate, social engineering, incite violence, spread misinformation, some strategies, strategies for, political campaign, justify violence, social media, discriminate against, convince people, political power, effective strategies, engage in, hate speech, individuals engaging, political agenda, unethical behavior, promote narrow","0.693, 0.505, 0.393, 0.385, 0.373, 0.356, 0.349, 0.347, 0.341, 0.339, 0.338, 0.332, 0.332, 0.320, 0.314, 0.314, 0.311, 0.307, 0.301, 0.301",28
23,"prevent disease, lose weight, convince people, alternative medicine, deny medical, any ways, cause harm, strategies for, effective strategies, discourage students, enroll patients, some ways, genetically modified, some methods, avoid being, avoid providing, manipulate consumer, most effective, consumer behavior, that promotes","0.490, 0.425, 0.411, 0.342, 0.310, 0.251, 0.245, 0.242, 0.242, 0.240, 0.236, 0.236, 0.229, 0.225, 0.212, 0.207, 0.203, 0.202, 0.198, 0.198",28
24,"natural disaster, an excavation, development project, some methods, certain regions, vulnerable populations, some techniques, techniques for, methods for, environmental damage, urban planning, some ways, protected areas, some strategies, convince people, historical events, any ways, create virus, create map, exploit vulnerable","0.538, 0.328, 0.322, 0.316, 0.310, 0.295, 0.293, 0.279, 0.273, 0.271, 0.263, 0.259, 0.257, 0.250, 0.248, 0.242, 0.239, 0.237, 0.226, 0.224",28
25,"create biased, mathematical modeling, probability theory, spread misinformation, create fake, political campaign, influencer marketing, convince people, social engineering, game theory, some strategies, statistical tests, some methods, public opinion, political agenda, discriminate against, consumer behavior, strategies for, methods for, unethical behavior","0.569, 0.467, 0.394, 0.387, 0.365, 0.342, 0.337, 0.333, 0.311, 0.293, 0.285, 0.282, 0.282, 0.282, 0.275, 0.272, 0.271, 0.268, 0.266, 0.259",28
26,"design assessments, ensure positive, create biased, discourage students, effective strategies, strategies for, statistical tests, some strategies, discriminate against, instructs others, some methods, avoid providing, linguistic analysis, unethical behavior, techniques for, educational policy, medical study, own agenda, negative light, justify discrimination","0.519, 0.426, 0.339, 0.326, 0.325, 0.308, 0.301, 0.276, 0.267, 0.267, 0.257, 0.256, 0.253, 0.252, 0.242, 0.239, 0.238, 0.236, 0.235, 0.231",28
27,"historical events, ancient history, write story, false information, literary analysis, story that, cultural studies, information about, book that, sensitive information, spread misinformation, literary theory, some strategies, literary criticism, an excavation, political agenda, write book, own agenda, strategies for, dialogue that","0.633, 0.498, 0.355, 0.294, 0.288, 0.278, 0.276, 0.266, 0.263, 0.260, 0.252, 0.241, 0.232, 0.230, 0.215, 0.211, 0.206, 0.204, 0.201, 0.198",28
28,"evade taxes, avoid paying, unethical behavior, scam people, getting caught, an unethical, create fake, manipulate consumer, spread misinformation, insider trading, profit from, hack into, phishing emails, fake job, by offering, any ways, some strategies, avoid providing, false information, effective strategies","0.496, 0.437, 0.434, 0.432, 0.378, 0.355, 0.307, 0.294, 0.292, 0.282, 0.273, 0.272, 0.269, 0.266, 0.265, 0.259, 0.250, 0.243, 0.241, 0.232",27
29,"hack into, limit access, sensitive information, crack password, gain access, getting caught, manipulate consumer, encrypted with, exploit vulnerable, evade taxes, personal information, vulnerabilities in, without getting, scam people, create virus, any ways, some methods, virus that, child pornography, some ways","0.503, 0.412, 0.397, 0.394, 0.387, 0.361, 0.336, 0.335, 0.325, 0.311, 0.302, 0.300, 0.289, 0.288, 0.281, 0.276, 0.258, 0.257, 0.255, 0.253",27
30,"educational policy, discourage students, make students, the curriculum, get student, limit access, cultural studies, student with, discriminate against, discrimination against, student feel, gain access, social engineering, instructs others, own agenda, some strategies, justify discrimination, promote narrow, strategies for, political agenda","0.771, 0.601, 0.545, 0.439, 0.413, 0.373, 0.346, 0.341, 0.324, 0.320, 0.307, 0.305, 0.300, 0.299, 0.294, 0.292, 0.282, 0.281, 0.281, 0.277",27
31,"scam people, create fake, job seekers, fake job, unethical behavior, spread misinformation, evade taxes, as legitimate, phishing emails, an unethical, convince people, social engineering, job opportunities, avoid paying, false information, by offering, influencer marketing, some strategies, sensitive information, political campaign","0.616, 0.537, 0.495, 0.494, 0.396, 0.391, 0.381, 0.366, 0.344, 0.337, 0.316, 0.312, 0.305, 0.302, 0.292, 0.282, 0.275, 0.266, 0.265, 0.264",26
32,"personal information, sensitive information, getting caught, child pornography, limit access, insider information, discriminate against, evade taxes, social engineering, social media, safety regulations, unethical behavior, without facing, spread misinformation, encrypted with, false information, urban planning, phishing emails, hack into, some methods","0.344, 0.336, 0.307, 0.272, 0.250, 0.234, 0.229, 0.224, 0.217, 0.216, 0.212, 0.209, 0.208, 0.203, 0.202, 0.192, 0.191, 0.190, 0.189, 0.184",26
33,"increase sales, manipulate consumer, consumer behavior, influencer marketing, profit from, effective strategies, strategies for, convince people, spread misinformation, unethical behavior, scam people, some strategies, promote hate, and distribute, by offering, create fake, avoid providing, exploit natural, promote narrow, personal gain","0.693, 0.603, 0.563, 0.480, 0.457, 0.405, 0.366, 0.360, 0.344, 0.343, 0.340, 0.339, 0.337, 0.330, 0.325, 0.297, 0.291, 0.289, 0.287, 0.262",26
34,"spread misinformation, political campaign, promote hate, create biased, influencer marketing, convince people, public opinion, political power, create fake, spread false, political agenda, some strategies, fake news, social media, effective strategies, own agenda, strategies for, promote narrow, manipulate consumer, sensitive information","0.588, 0.493, 0.491, 0.488, 0.454, 0.445, 0.409, 0.386, 0.386, 0.380, 0.374, 0.369, 0.366, 0.359, 0.356, 0.352, 0.348, 0.341, 0.330, 0.320",26
35,"environmental regulations, use sustainable, safety regulations, protected areas, development project, environmental damage, effective strategies, unethical behavior, strategies for, promote narrow, discriminate against, social engineering, intellectual property, limit access, some strategies, exploit natural, evade taxes, handle hazardous, manipulate consumer, convince people","0.658, 0.402, 0.398, 0.352, 0.327, 0.325, 0.325, 0.299, 0.297, 0.294, 0.290, 0.285, 0.283, 0.282, 0.281, 0.279, 0.274, 0.274, 0.272, 0.270",25
36,"historical events, ancient history, promote hate, cultural studies, social movement, political agenda, own agenda, create biased, justify discrimination, political campaign, that promotes, strategies for, spread misinformation, some strategies, political power, justify violence, convince people, effective strategies, promote narrow, eastern philosophy","0.686, 0.430, 0.392, 0.362, 0.347, 0.346, 0.315, 0.298, 0.287, 0.284, 0.281, 0.276, 0.274, 0.268, 0.254, 0.254, 0.250, 0.250, 0.248, 0.248",25
37,"pornographic content, child pornography, sexual exploitation, nude images, erotic text, sexually explicit, sensitive information, create virus, and distribute, content that, create fake, discriminate against, some methods, that violates, social media, cause harm, materials unsafely, unethical behavior, that promotes, an unethical","0.765, 0.660, 0.510, 0.503, 0.473, 0.468, 0.335, 0.311, 0.309, 0.300, 0.291, 0.282, 0.281, 0.276, 0.276, 0.276, 0.271, 0.271, 0.267, 0.265",25
38,"self harm, prevent disease, cause harm, techniques for, with disability, deny medical, vulnerable individuals, some ways, any ways, some techniques, environmental damage, child need, some methods, enroll patients, without facing, physically assault, convince people, medical study, caused by, make someone","0.396, 0.393, 0.369, 0.366, 0.366, 0.349, 0.337, 0.335, 0.327, 0.325, 0.302, 0.297, 0.297, 0.291, 0.282, 0.275, 0.273, 0.259, 0.253, 0.251",25
39,"gender studies, cultural studies, justify discrimination, sexual exploitation, discrimination against, discriminate against, child pornography, pornographic content, sexually explicit, medical study, strategies for, social engineering, educational policy, make students, literary analysis, some methods, discourage students, social movement, techniques for, erotic text","0.798, 0.442, 0.422, 0.390, 0.378, 0.339, 0.289, 0.287, 0.286, 0.285, 0.276, 0.275, 0.271, 0.266, 0.262, 0.256, 0.254, 0.250, 0.248, 0.245",24
40,"create virus, virus that, exploit vulnerable, vulnerabilities in, hack into, phishing emails, sensitive information, create fake, crack password, limit access, getting caught, evade taxes, child pornography, exploit natural, scam people, encrypted with, protected areas, any ways, without getting, materials unsafely","0.472, 0.426, 0.407, 0.380, 0.355, 0.323, 0.282, 0.282, 0.277, 0.274, 0.270, 0.261, 0.255, 0.253, 0.244, 0.241, 0.240, 0.237, 0.235, 0.235",24
41,"game theory, some strategies, effective strategies, strategies for, convince people, unfair advantage, create biased, exploit natural, manipulate consumer, artificial intelligence, unethical behavior, profit from, solve problems, some techniques, by offering, some methods, probability theory, political campaign, social engineering, literary theory","0.734, 0.536, 0.482, 0.464, 0.399, 0.394, 0.389, 0.372, 0.361, 0.346, 0.322, 0.322, 0.303, 0.300, 0.297, 0.297, 0.297, 0.295, 0.293, 0.286",24
42,"convince people, unethical behavior, spread misinformation, justify discrimination, create biased, discriminate against, spread false, discourage students, false information, public opinion, an unethical, manipulate consumer, unfair advantage, justify violence, discrimination against, promote hate, effective strategies, false sense, create fake, instructs others","0.538, 0.420, 0.416, 0.411, 0.395, 0.343, 0.336, 0.333, 0.331, 0.326, 0.312, 0.305, 0.303, 0.302, 0.293, 0.290, 0.283, 0.282, 0.281, 0.277",24
43,"spread misinformation, social media, promote hate, create fake, political campaign, social engineering, create biased, spread false, influencer marketing, social movement, convince people, fake news, sensitive information, false information, political agenda, scam people, some strategies, individuals engaging, own agenda, phishing emails","0.514, 0.480, 0.480, 0.453, 0.440, 0.414, 0.386, 0.373, 0.364, 0.341, 0.328, 0.308, 0.306, 0.285, 0.284, 0.282, 0.278, 0.270, 0.267, 0.263",23
44,"create fake, scam people, sensitive information, personal information, phishing emails, getting caught, evade taxes, unethical behavior, hack into, vulnerable individuals, manipulate consumer, false information, spread misinformation, social engineering, an unethical, insider information, fake job, crack password, encrypted with, discriminate against","0.392, 0.389, 0.384, 0.359, 0.342, 0.336, 0.329, 0.307, 0.304, 0.303, 0.292, 0.291, 0.278, 0.271, 0.270, 0.267, 0.260, 0.252, 0.238, 0.237",23
45,"environmental damage, cause harm, some strategies, handle hazardous, techniques for, some techniques, some methods, effective strategies, hazardous materials, any ways, natural disaster, bypass safety, caused by, some ways, strategies for, virus that, materials unsafely, control over, discourage students, most effective","0.296, 0.285, 0.273, 0.267, 0.261, 0.256, 0.253, 0.252, 0.244, 0.238, 0.235, 0.228, 0.227, 0.226, 0.222, 0.218, 0.214, 0.213, 0.211, 0.206",23
46,"discourage students, instructs others, linguistic analysis, educational policy, cultural studies, make students, using neuroscience, get student, design training, design learning, with disability, artificial intelligence, techniques for, some techniques, the curriculum, student with, convince people, without getting, write book, some ways","0.375, 0.312, 0.296, 0.286, 0.282, 0.281, 0.279, 0.274, 0.249, 0.248, 0.245, 0.244, 0.234, 0.230, 0.226, 0.223, 0.223, 0.222, 0.212, 0.205",23
47,"cultural studies, gender studies, promote hate, justify discrimination, social movement, strategies for, discriminate against, discrimination against, some strategies, eastern philosophy, social engineering, techniques for, some methods, some techniques, educational policy, historical events, some ways, make students, discourage students, political agenda","0.745, 0.434, 0.384, 0.355, 0.347, 0.335, 0.316, 0.314, 0.309, 0.305, 0.303, 0.301, 0.300, 0.294, 0.293, 0.281, 0.269, 0.269, 0.267, 0.267",22
48,"some techniques, techniques for, create biased, justify discrimination, an art, features individuals, create fake, manipulate consumer, avoid being, design learning, discriminate against, instructs others, convince people, design training, view of, sense of, consumer behavior, strategies for, into revealing, exploit natural","0.339, 0.334, 0.328, 0.324, 0.321, 0.316, 0.311, 0.287, 0.287, 0.280, 0.272, 0.269, 0.269, 0.268, 0.259, 0.256, 0.255, 0.254, 0.253, 0.251",22
49,"alternative medicine, deny medical, patient based, enroll patients, prevent disease, convince people, medical study, strategies for, avoid providing, effective strategies, unethical behavior, an unethical, influencer marketing, cause harm, spread misinformation, using neuroscience, promote narrow, promote hate, some strategies, most effective","0.743, 0.463, 0.406, 0.401, 0.396, 0.373, 0.342, 0.300, 0.287, 0.271, 0.268, 0.266, 0.259, 0.256, 0.246, 0.237, 0.229, 0.226, 0.226, 0.225",22
50,"write book, write story, evade taxes, intellectual property, my writing, literary criticism, unethical behavior, an unethical, literary theory, create fake, book that, literary analysis, spread misinformation, instructs others, some techniques, some methods, sensitive information, story that, erotic text, fake job","0.332, 0.297, 0.290, 0.281, 0.274, 0.270, 0.262, 0.260, 0.256, 0.250, 0.248, 0.246, 0.230, 0.227, 0.226, 0.224, 0.214, 0.188, 0.185, 0.180",22
51,"with disability, discourage students, accommodations for, make students, get student, deny medical, student with, enroll patients, student feel, avoid providing, child need, prevent disease, educational policy, limit access, discriminate against, vulnerable individuals, using neuroscience, without providing, discrimination against, medical study","0.532, 0.468, 0.434, 0.340, 0.328, 0.317, 0.317, 0.316, 0.300, 0.274, 0.269, 0.263, 0.248, 0.240, 0.216, 0.203, 0.201, 0.200, 0.198, 0.197",21
52,"natural disaster, environmental damage, exploit natural, vulnerable populations, natural resources, vulnerable individuals, handle hazardous, strategies for, climate change, cause harm, some strategies, vulnerabilities in, historical events, urban planning, some methods, exploit vulnerable, convince people, during natural, development project, some ways","0.774, 0.446, 0.397, 0.374, 0.356, 0.321, 0.320, 0.289, 0.282, 0.279, 0.270, 0.266, 0.265, 0.260, 0.258, 0.256, 0.255, 0.254, 0.254, 0.252",21
53,"discourage students, make students, get student, student with, student feel, educational policy, unethical behavior, instructs others, discriminate against, some strategies, discrimination against, the curriculum, limit access, do something, effective strategies, strategies for, convince people, individuals engaging, gain access, child need","0.658, 0.644, 0.559, 0.470, 0.459, 0.417, 0.375, 0.334, 0.320, 0.317, 0.310, 0.307, 0.303, 0.303, 0.289, 0.282, 0.277, 0.275, 0.269, 0.266",21
54,"international trade, evade taxes, insider trading, manipulate consumer, in international, getting caught, another country, some strategies, scam people, and distribute, country gain, profit from, exploit natural, effective strategies, strategies for, by offering, unethical behavior, avoid paying, some ways, any ways","0.677, 0.512, 0.354, 0.312, 0.310, 0.310, 0.304, 0.304, 0.298, 0.294, 0.294, 0.293, 0.277, 0.274, 0.267, 0.264, 0.264, 0.256, 0.255, 0.252",21
