topic_num,top_words,word_scores,num_documents
55,"promote hate, hate speech, write story, literary criticism, literary analysis, discriminate against, discrimination against, write book, justify discrimination, literary theory, create biased, justify violence, my writing, social movement, cause harm, incite violence, hateful messages, unethical behavior, linguistic analysis, book that","0.531, 0.459, 0.458, 0.447, 0.432, 0.422, 0.420, 0.409, 0.401, 0.384, 0.362, 0.351, 0.347, 0.346, 0.341, 0.336, 0.334, 0.334, 0.321, 0.294",21
56,"linguistic analysis, in international, avoid providing, cultural studies, international trade, spread misinformation, without providing, dialogue that, manipulate consumer, and distribute, erotic text, strategies for, without proper, another country, effective strategies, false information, hateful messages, ignore the, use csr, and distributing","0.286, 0.279, 0.240, 0.230, 0.200, 0.185, 0.184, 0.179, 0.178, 0.162, 0.160, 0.158, 0.155, 0.150, 0.149, 0.148, 0.147, 0.145, 0.143, 0.142",21
57,"vulnerable populations, vulnerable individuals, exploit vulnerable, exploit natural, vulnerabilities in, gain access, strategies for, manipulate consumer, effective strategies, sexual exploitation, hack into, some strategies, convince people, cause harm, protected areas, own benefit, prevent disease, unfair advantage, social engineering, environmental damage","0.730, 0.691, 0.654, 0.543, 0.489, 0.384, 0.370, 0.356, 0.344, 0.339, 0.337, 0.335, 0.334, 0.333, 0.328, 0.327, 0.312, 0.303, 0.300, 0.295",21
58,"write story, literary theory, literary analysis, make someone, engage in, incite violence, dialogue that, some strategies, justify violence, literary criticism, strategies for, individuals engaging, engaging in, create fake, that portrays, create biased, game theory, write book, erotic text, natural disaster","0.473, 0.384, 0.363, 0.340, 0.339, 0.333, 0.332, 0.326, 0.324, 0.318, 0.309, 0.308, 0.300, 0.298, 0.289, 0.284, 0.278, 0.277, 0.263, 0.261",21
59,"an art, intellectual property, some techniques, create fake, materials unsafely, an unethical, any ways, nude images, some ways, some methods, manipulate consumer, techniques for, literary criticism, instructs others, write story, unethical behavior, design training, child pornography, write book, exploit natural","0.454, 0.376, 0.341, 0.304, 0.277, 0.273, 0.267, 0.263, 0.259, 0.252, 0.251, 0.248, 0.247, 0.245, 0.243, 0.237, 0.237, 0.232, 0.230, 0.227",21
60,"create map, certain regions, discriminate against, sensitive information, protected areas, false information, urban planning, certain groups, create biased, features individuals, create fake, specific group, vulnerable populations, another country, spread misinformation, an excavation, justify discrimination, information about, particular group, discourage students","0.637, 0.428, 0.288, 0.279, 0.262, 0.252, 0.247, 0.228, 0.218, 0.216, 0.216, 0.210, 0.210, 0.206, 0.202, 0.197, 0.185, 0.181, 0.179, 0.177",20
61,"eastern philosophy, cultural studies, justify violence, ancient history, political power, convince people, social movement, strategies for, justify discrimination, create biased, some strategies, promote hate, avoid being, effective strategies, own agenda, country weaken, unethical behavior, some techniques, control over, literary theory","0.865, 0.346, 0.333, 0.319, 0.305, 0.299, 0.297, 0.295, 0.295, 0.290, 0.270, 0.263, 0.263, 0.261, 0.254, 0.248, 0.240, 0.238, 0.236, 0.236",20
62,"robots be, cause harm, materials unsafely, environmental damage, self harm, hazardous materials, artificial intelligence, vulnerabilities in, genetically modified, intellectual property, handle hazardous, sensitive information, safety regulations, techniques for, protected areas, most effective, urban planning, create virus, vulnerable individuals, social engineering","0.585, 0.403, 0.374, 0.365, 0.340, 0.331, 0.330, 0.309, 0.304, 0.301, 0.297, 0.297, 0.286, 0.264, 0.262, 0.261, 0.261, 0.261, 0.260, 0.260",20
63,"country weaken, country gain, another country, political power, international trade, effective strategies, some strategies, strategies for, natural resources, political agenda, promote narrow, climate change, control over, certain regions, convince people, social engineering, unfair advantage, vulnerable populations, intellectual property, cultural studies","0.719, 0.564, 0.504, 0.467, 0.461, 0.347, 0.338, 0.334, 0.334, 0.331, 0.301, 0.276, 0.276, 0.272, 0.270, 0.269, 0.269, 0.259, 0.255, 0.253",20
64,"ancient history, historical events, eastern philosophy, cultural studies, justify discrimination, promote hate, social movement, own agenda, political agenda, convince people, discriminate against, create biased, political power, strategies for, discrimination against, against certain, some strategies, public opinion, justify violence, you recommend","0.685, 0.478, 0.399, 0.364, 0.284, 0.282, 0.280, 0.264, 0.262, 0.257, 0.233, 0.230, 0.225, 0.222, 0.221, 0.219, 0.219, 0.207, 0.204, 0.198",20
65,"use csr, influencer marketing, social engineering, gain access, manipulate consumer, strategies for, avoid providing, effective strategies, sensitive information, environmental regulations, without providing, some strategies, vulnerable populations, create biased, own benefit, discriminate against, spread misinformation, unfair advantage, exploit natural, limit access","0.789, 0.381, 0.316, 0.292, 0.292, 0.291, 0.284, 0.269, 0.266, 0.254, 0.236, 0.235, 0.233, 0.226, 0.225, 0.222, 0.215, 0.205, 0.203, 0.199",20
66,"evade taxes, manipulate consumer, spread misinformation, false information, avoid paying, effective strategies, profit from, unethical behavior, increase sales, strategies for, insider trading, sensitive information, avoid providing, stock market, some strategies, scam people, insider information, by offering, personal information, and distribute","0.384, 0.361, 0.336, 0.335, 0.334, 0.312, 0.300, 0.299, 0.286, 0.285, 0.283, 0.281, 0.275, 0.264, 0.261, 0.259, 0.240, 0.236, 0.235, 0.228",20
67,"use sustainable, natural resources, environmental regulations, strategies for, effective strategies, development project, some strategies, exploit natural, profit from, environmental damage, social engineering, own benefit, climate change, own agenda, country gain, some methods, gain access, urban planning, convince people, international trade","0.686, 0.414, 0.390, 0.371, 0.363, 0.360, 0.331, 0.331, 0.319, 0.308, 0.308, 0.297, 0.292, 0.291, 0.283, 0.276, 0.269, 0.269, 0.268, 0.264",20
68,"calculus formulas, solve problems, mathematical modeling, use geometry, methods for, in algebra, some methods, discourage students, techniques for, some techniques, instructs others, make students, design assessments, artificial intelligence, some strategies, design learning, strategies for, but using, get student, using neuroscience","0.725, 0.440, 0.436, 0.379, 0.333, 0.319, 0.296, 0.260, 0.253, 0.229, 0.214, 0.212, 0.205, 0.201, 0.194, 0.192, 0.186, 0.185, 0.185, 0.184",20
69,"some methods, scam people, intellectual property, some techniques, create fake, getting caught, any ways, hazardous materials, some ways, evade taxes, materials unsafely, manipulate consumer, some strategies, unethical behavior, techniques for, an unethical, and distribute, protected areas, profit from, as legitimate","0.368, 0.362, 0.344, 0.339, 0.338, 0.329, 0.325, 0.319, 0.317, 0.317, 0.315, 0.299, 0.299, 0.287, 0.287, 0.287, 0.286, 0.268, 0.261, 0.258",20
70,"consumer behavior, manipulate consumer, influencer marketing, unethical behavior, convince people, strategies for, increase sales, effective strategies, social engineering, some strategies, promote hate, avoid being, control over, create biased, sensitive information, use sustainable, profit from, social movement, discourage students, social media","0.802, 0.784, 0.521, 0.431, 0.401, 0.390, 0.380, 0.374, 0.352, 0.334, 0.326, 0.325, 0.323, 0.301, 0.286, 0.282, 0.279, 0.274, 0.274, 0.272",20
71,"in algebra, calculus formulas, terms interchangeably, solve problems, mathematical modeling, use geometry, difference between, methods for, any ways, by offering, some methods, increase sales, profit from, form of, negative light, but using, political power, without providing, and distribute, what are","0.540, 0.387, 0.340, 0.297, 0.248, 0.194, 0.190, 0.184, 0.176, 0.170, 0.164, 0.160, 0.154, 0.149, 0.148, 0.147, 0.146, 0.141, 0.140, 0.138",19
72,"design training, design learning, discourage students, make students, educational policy, design assessments, the curriculum, some techniques, instructs others, effective strategies, techniques for, strategies for, some strategies, development project, using neuroscience, some methods, individuals engaging, student feel, engaging in, cultural studies","0.578, 0.533, 0.460, 0.452, 0.411, 0.399, 0.383, 0.347, 0.345, 0.339, 0.331, 0.309, 0.306, 0.301, 0.292, 0.289, 0.281, 0.272, 0.260, 0.255",19
73,"personal information, sensitive information, social engineering, insider information, social media, false information, spread misinformation, child pornography, information about, phishing emails, scam people, vulnerable individuals, into revealing, some techniques, pornographic content, some methods, gain access, features individuals, nude images, without providing","0.594, 0.548, 0.457, 0.411, 0.409, 0.344, 0.342, 0.331, 0.323, 0.286, 0.282, 0.273, 0.265, 0.264, 0.264, 0.263, 0.256, 0.252, 0.250, 0.247",19
74,"use geometry, create fake, some techniques, some methods, techniques for, fake job, methods for, convince people, as legitimate, mathematical modeling, without facing, design training, design assessments, unethical behavior, create map, an unethical, instructs others, form of, and distribute, social engineering","0.683, 0.498, 0.311, 0.293, 0.289, 0.252, 0.243, 0.237, 0.234, 0.234, 0.231, 0.224, 0.222, 0.220, 0.219, 0.215, 0.205, 0.205, 0.196, 0.196",19
75,"ancient history, create fake, historical events, literary criticism, spread misinformation, literary analysis, some techniques, false information, literary theory, create biased, unethical behavior, convince people, an unethical, cultural studies, an excavation, techniques for, write story, book that, an art, some strategies","0.386, 0.303, 0.293, 0.286, 0.257, 0.248, 0.232, 0.226, 0.219, 0.205, 0.204, 0.204, 0.204, 0.203, 0.201, 0.200, 0.198, 0.193, 0.185, 0.184",19
76,"create virus, virus that, prevent disease, genetically modified, create fake, vulnerabilities in, some ways, organism that, some methods, any ways, exploit vulnerable, patient based, vulnerable populations, make someone, without getting, cause harm, techniques for, without providing, for creating, and distribute","0.814, 0.569, 0.373, 0.271, 0.262, 0.254, 0.246, 0.244, 0.243, 0.240, 0.239, 0.238, 0.230, 0.227, 0.215, 0.210, 0.208, 0.207, 0.207, 0.207",18
77,"unethical behavior, an unethical, manipulate consumer, evade taxes, justify discrimination, unfair advantage, avoid paying, discriminate against, convince people, cause harm, discrimination against, deny medical, create biased, sensitive information, effective strategies, consumer behavior, false information, spread misinformation, by offering, scam people","0.810, 0.632, 0.367, 0.362, 0.350, 0.343, 0.336, 0.322, 0.314, 0.312, 0.303, 0.302, 0.291, 0.287, 0.277, 0.274, 0.274, 0.264, 0.264, 0.263",18
78,"environmental damage, environmental regulations, use sustainable, handle hazardous, avoid paying, cause harm, unethical behavior, hazardous materials, materials unsafely, safety regulations, natural disaster, climate change, natural resources, self harm, manipulate consumer, avoid being, protected areas, control over, own agenda, avoid providing","0.618, 0.533, 0.423, 0.405, 0.354, 0.339, 0.331, 0.321, 0.307, 0.287, 0.283, 0.280, 0.278, 0.273, 0.272, 0.259, 0.248, 0.247, 0.239, 0.235",18
79,"increase sales, manipulate consumer, profit from, effective strategies, consumer behavior, some strategies, avoid paying, stock market, strategies for, international trade, solve problems, spread misinformation, and distribute, unfair advantage, by offering, influencer marketing, insider trading, unethical behavior, convince people, promote narrow","0.486, 0.441, 0.432, 0.392, 0.386, 0.378, 0.373, 0.363, 0.359, 0.340, 0.319, 0.315, 0.315, 0.315, 0.313, 0.310, 0.302, 0.298, 0.281, 0.276",17
80,"manipulate consumer, international trade, profit from, avoid paying, increase sales, exploit natural, avoid providing, effective strategies, and distribute, strategies for, unfair advantage, own benefit, some strategies, insider trading, by offering, gain access, intellectual property, exploit vulnerable, influencer marketing, without providing","0.432, 0.424, 0.421, 0.417, 0.387, 0.381, 0.372, 0.367, 0.353, 0.345, 0.342, 0.335, 0.332, 0.327, 0.325, 0.306, 0.289, 0.289, 0.279, 0.275",17
81,"phishing emails, scam people, create fake, spread misinformation, sensitive information, evade taxes, hack into, personal information, social engineering, some strategies, effective strategies, some methods, child pornography, any ways, some techniques, most effective, some ways, without getting, encrypted with, strategies for","0.769, 0.423, 0.340, 0.315, 0.314, 0.304, 0.303, 0.301, 0.287, 0.281, 0.278, 0.278, 0.274, 0.262, 0.259, 0.254, 0.245, 0.242, 0.241, 0.240",17
82,"unethical behavior, avoid being, justify discrimination, justify violence, cause harm, own benefit, unfair advantage, avoid providing, discriminate against, create biased, convince people, self harm, avoid paying, promote hate, support my, own agenda, manipulate consumer, instructs others, an unethical, ensure positive","0.490, 0.417, 0.415, 0.408, 0.383, 0.374, 0.341, 0.333, 0.322, 0.322, 0.320, 0.309, 0.293, 0.285, 0.279, 0.278, 0.276, 0.265, 0.258, 0.256",17
83,"some techniques, instructs others, techniques for, convince people, strategies for, some methods, some ways, any ways, some strategies, using neuroscience, methods for, effective strategies, control over, negative light, political power, literary theory, by offering, without being, exploit natural, engage in","0.363, 0.356, 0.345, 0.344, 0.328, 0.318, 0.310, 0.305, 0.299, 0.283, 0.281, 0.280, 0.275, 0.267, 0.267, 0.264, 0.259, 0.255, 0.246, 0.236",17
84,"literary analysis, literary criticism, literary theory, write book, cultural studies, write story, linguistic analysis, social movement, justify violence, public opinion, create biased, my writing, political power, eastern philosophy, book that, strategies for, promote hate, erotic text, gender studies, justify discrimination","0.690, 0.684, 0.653, 0.370, 0.356, 0.353, 0.321, 0.308, 0.308, 0.301, 0.296, 0.290, 0.284, 0.279, 0.277, 0.273, 0.271, 0.266, 0.265, 0.260",17
85,"historical events, incite violence, ancient history, justify violence, against certain, non consensual, an unethical, cause harm, hate speech, social movement, literary criticism, sexual exploitation, discrimination against, story that, of another, something they, justify discrimination, that violates, their race, cultural studies","0.410, 0.316, 0.306, 0.305, 0.276, 0.272, 0.257, 0.255, 0.254, 0.253, 0.253, 0.252, 0.252, 0.252, 0.249, 0.246, 0.243, 0.242, 0.237, 0.236",17
86,"discourage students, the curriculum, make students, educational policy, discriminate against, get student, student feel, student with, instructs others, avoid being, justify discrimination, effective strategies, individuals engaging, some strategies, convince people, discrimination against, cultural studies, design learning, sensitive information, solve problems","0.730, 0.583, 0.580, 0.424, 0.370, 0.367, 0.349, 0.299, 0.297, 0.284, 0.275, 0.250, 0.249, 0.248, 0.244, 0.242, 0.236, 0.228, 0.225, 0.222",17
87,"create fake, influencer marketing, promote hate, consumer behavior, manipulate consumer, spread misinformation, create biased, increase sales, convince people, unethical behavior, scam people, that promotes, profit from, as legitimate, effective strategies, fake job, promote narrow, political campaign, an unethical, public opinion","0.478, 0.468, 0.446, 0.446, 0.434, 0.416, 0.383, 0.369, 0.355, 0.349, 0.326, 0.309, 0.307, 0.306, 0.305, 0.300, 0.286, 0.284, 0.279, 0.273",16
88,"historical events, justify discrimination, justify violence, ancient history, discrimination against, discriminate against, cultural studies, promote hate, political agenda, incite violence, create biased, social movement, literary analysis, political power, eastern philosophy, own agenda, information about, against certain, gender studies, literary theory","0.702, 0.479, 0.475, 0.438, 0.376, 0.359, 0.352, 0.338, 0.324, 0.315, 0.307, 0.304, 0.291, 0.278, 0.268, 0.265, 0.259, 0.255, 0.254, 0.250",16
89,"limit access, exploit vulnerable, exploit natural, some strategies, create virus, vulnerabilities in, number theory, some methods, gain access, and distribute, promote hate, hack into, vulnerable populations, some techniques, virus that, development project, some ways, create fake, effective strategies, spread misinformation","0.361, 0.338, 0.305, 0.293, 0.287, 0.286, 0.279, 0.272, 0.252, 0.250, 0.246, 0.243, 0.237, 0.235, 0.235, 0.232, 0.229, 0.227, 0.220, 0.219",16
90,"avoid being, convince people, self harm, create fake, unethical behavior, instructs others, justify violence, justify discrimination, without being, engage in, own benefit, manipulate consumer, avoid providing, strategies for, promote hate, own agenda, non consensual, by offering, cause harm, eastern philosophy","0.340, 0.337, 0.328, 0.322, 0.318, 0.309, 0.309, 0.293, 0.290, 0.285, 0.271, 0.270, 0.253, 0.253, 0.250, 0.244, 0.242, 0.241, 0.240, 0.238",15
91,"intellectual property, manipulate consumer, profit from, insider trading, scam people, unethical behavior, evade taxes, an unethical, getting caught, international trade, hack into, create fake, sensitive information, exploit natural, some strategies, increase sales, gain access, unfair advantage, and distribute, effective strategies","0.461, 0.409, 0.384, 0.357, 0.348, 0.348, 0.347, 0.329, 0.312, 0.311, 0.303, 0.302, 0.293, 0.289, 0.283, 0.280, 0.279, 0.270, 0.260, 0.250",15
92,"deny medical, enroll patients, sensitive information, medical study, patient based, personal information, avoid providing, false information, insider information, limit access, with disability, without providing, alternative medicine, unethical behavior, information about, encrypted with, an unethical, prevent disease, gain access, into revealing","0.604, 0.505, 0.442, 0.435, 0.409, 0.375, 0.319, 0.309, 0.304, 0.300, 0.299, 0.296, 0.290, 0.270, 0.260, 0.257, 0.255, 0.255, 0.250, 0.245",15
93,"crack password, hack into, encrypted with, any ways, exploit vulnerable, some methods, some ways, getting caught, some techniques, techniques for, without getting, by offering, scam people, some strategies, exploit natural, limit access, cheat on, erotic text, child pornography, gain access","0.794, 0.393, 0.389, 0.313, 0.289, 0.274, 0.262, 0.259, 0.254, 0.210, 0.206, 0.205, 0.202, 0.201, 0.192, 0.186, 0.185, 0.185, 0.182, 0.182",15
94,"create fake, scam people, spread misinformation, evade taxes, insider trading, convince people, profit from, unethical behavior, an unethical, effective strategies, intellectual property, manipulate consumer, influencer marketing, stock market, exploit natural, some strategies, false information, strategies for, spread false, into revealing","0.474, 0.420, 0.401, 0.363, 0.351, 0.350, 0.349, 0.345, 0.324, 0.323, 0.320, 0.318, 0.315, 0.313, 0.303, 0.301, 0.296, 0.283, 0.277, 0.270",15
95,"insider trading, insider information, profit from, own benefit, gain access, unfair advantage, stock market, personal gain, exploit natural, some strategies, evade taxes, effective strategies, scam people, influencer marketing, unethical behavior, strategies for, by offering, spread misinformation, getting caught, an unethical","0.833, 0.699, 0.405, 0.321, 0.320, 0.320, 0.313, 0.311, 0.303, 0.294, 0.286, 0.286, 0.265, 0.263, 0.259, 0.252, 0.245, 0.236, 0.232, 0.229",15
96,"sexually explicit, erotic text, sexual exploitation, pornographic content, child pornography, engage in, dialogue that, engaging in, into revealing, individuals engaging, nude images, sensitive information, incite violence, gender studies, physically assault, instructs others, some strategies, vulnerable individuals, hate speech, literary analysis","0.700, 0.566, 0.484, 0.478, 0.449, 0.388, 0.365, 0.339, 0.338, 0.332, 0.328, 0.309, 0.301, 0.290, 0.274, 0.260, 0.250, 0.246, 0.238, 0.236",15
97,"create fake, some techniques, techniques for, some methods, some strategies, some ways, effective strategies, any ways, nude images, most effective, strategies for, artificial intelligence, methods for, political campaign, create biased, dialogue that, create virus, child pornography, into revealing, design training","0.366, 0.355, 0.316, 0.287, 0.263, 0.263, 0.257, 0.226, 0.222, 0.219, 0.219, 0.219, 0.209, 0.204, 0.203, 0.201, 0.197, 0.196, 0.195, 0.194",14
98,"an excavation, environmental damage, materials unsafely, hazardous materials, protected areas, handle hazardous, natural disaster, unethical behavior, ancient history, historical events, cultural studies, natural resources, an unethical, environmental regulations, ignore the, social engineering, exploit natural, vulnerabilities in, without providing, intellectual property","0.727, 0.347, 0.279, 0.270, 0.255, 0.230, 0.225, 0.225, 0.218, 0.212, 0.208, 0.203, 0.198, 0.192, 0.191, 0.191, 0.188, 0.177, 0.176, 0.173",14
99,"political campaign, political agenda, some strategies, political power, spread misinformation, create biased, effective strategies, manipulate consumer, own agenda, strategies for, convince people, some methods, influencer marketing, promote hate, sensitive information, some ways, evade taxes, public opinion, some techniques, discriminate against","0.501, 0.388, 0.386, 0.380, 0.374, 0.365, 0.348, 0.342, 0.340, 0.329, 0.321, 0.319, 0.307, 0.306, 0.296, 0.295, 0.292, 0.287, 0.283, 0.282",14
100,"an excavation, environmental regulations, natural resources, natural disaster, protected areas, strategies for, social engineering, exploit natural, some strategies, own agenda, sensitive information, intellectual property, effective strategies, environmental damage, gain access, some methods, convince people, development project, without providing, avoid providing","0.446, 0.333, 0.325, 0.288, 0.274, 0.258, 0.254, 0.253, 0.249, 0.238, 0.236, 0.236, 0.233, 0.232, 0.228, 0.228, 0.227, 0.224, 0.218, 0.215",14
101,"create fake, fake job, get student, make students, as legitimate, discourage students, false information, design training, the curriculum, some techniques, social engineering, some methods, scam people, convince people, an unethical, job seekers, enroll patients, instructs others, with disability, unethical behavior","0.585, 0.419, 0.339, 0.337, 0.325, 0.292, 0.290, 0.282, 0.282, 0.275, 0.260, 0.260, 0.253, 0.249, 0.245, 0.243, 0.242, 0.236, 0.229, 0.227",14
102,"climate change, use sustainable, environmental damage, environmental regulations, convince people, natural resources, strategies for, own agenda, effective strategies, some strategies, vulnerable populations, natural disaster, promote hate, manipulate consumer, political agenda, some ways, prevent disease, any ways, some methods, avoid being","0.705, 0.452, 0.370, 0.365, 0.344, 0.307, 0.296, 0.292, 0.280, 0.272, 0.267, 0.265, 0.262, 0.257, 0.256, 0.253, 0.247, 0.239, 0.236, 0.229",13
103,"genetically modified, organism that, create virus, prevent disease, materials unsafely, vulnerable populations, make someone, environmental damage, some methods, create fake, exploit natural, virus that, environmental regulations, for creating, some ways, development project, hazardous materials, some strategies, alternative medicine, create new","0.709, 0.410, 0.409, 0.341, 0.289, 0.285, 0.274, 0.270, 0.261, 0.256, 0.248, 0.243, 0.240, 0.239, 0.238, 0.229, 0.224, 0.223, 0.220, 0.217",12
104,"create fake, create virus, phishing emails, virus that, promote hate, scam people, as legitimate, unethical behavior, exploit natural, social engineering, an unethical, evade taxes, spread misinformation, manipulate consumer, some methods, limit access, exploit vulnerable, child pornography, fake job, influencer marketing","0.356, 0.345, 0.303, 0.281, 0.274, 0.261, 0.259, 0.253, 0.249, 0.244, 0.240, 0.236, 0.236, 0.235, 0.223, 0.219, 0.219, 0.210, 0.205, 0.204",12
105,"create virus, virus that, scam people, exploit vulnerable, encrypted with, avoid paying, some methods, vulnerable individuals, crack password, any ways, methods for, exploit natural, sexual exploitation, phishing emails, techniques for, unethical behavior, some techniques, some strategies, some ways, vulnerabilities in","0.410, 0.329, 0.278, 0.271, 0.257, 0.255, 0.245, 0.244, 0.230, 0.226, 0.201, 0.199, 0.191, 0.190, 0.189, 0.189, 0.188, 0.187, 0.187, 0.186",12
106,"number theory, sensitive information, exploit vulnerable, create virus, hack into, vulnerabilities in, crack password, some methods, encrypted with, virus that, exploit natural, some techniques, mathematical modeling, limit access, protected areas, create fake, some ways, convince people, social engineering, phishing emails","0.505, 0.335, 0.298, 0.295, 0.272, 0.266, 0.263, 0.260, 0.252, 0.236, 0.234, 0.219, 0.215, 0.208, 0.205, 0.200, 0.190, 0.177, 0.177, 0.174",12
107,"erotic text, pornographic content, sexually explicit, sexual exploitation, child pornography, nude images, sensitive information, vulnerable individuals, write story, some techniques, individuals engaging, techniques for, personal information, gender studies, social engineering, spread misinformation, some methods, social media, engage in, unethical behavior","0.754, 0.577, 0.525, 0.524, 0.509, 0.427, 0.402, 0.333, 0.322, 0.317, 0.316, 0.309, 0.297, 0.294, 0.290, 0.290, 0.282, 0.281, 0.273, 0.273",12
108,"exploit vulnerable, vulnerabilities in, vulnerable populations, vulnerable individuals, exploit natural, hack into, limit access, environmental damage, some methods, gain access, techniques for, create virus, getting caught, some strategies, cause harm, some techniques, crack password, strategies for, effective strategies, virus that","0.640, 0.561, 0.425, 0.420, 0.408, 0.394, 0.309, 0.302, 0.285, 0.283, 0.277, 0.272, 0.264, 0.263, 0.263, 0.255, 0.251, 0.233, 0.231, 0.230",12
109,"discourage students, make students, student feel, get student, educational policy, student with, instructs others, avoid being, convince people, the curriculum, some strategies, promote hate, solve problems, avoid providing, individuals engaging, strategies for, discriminate against, effective strategies, some ways, limit access","0.863, 0.677, 0.529, 0.477, 0.410, 0.409, 0.377, 0.337, 0.327, 0.319, 0.306, 0.303, 0.295, 0.286, 0.285, 0.283, 0.280, 0.279, 0.270, 0.270",11
110,"nude images, pornographic content, child pornography, sexual exploitation, sexually explicit, erotic text, sensitive information, create fake, some methods, some techniques, and distribute, create virus, techniques for, protected areas, vulnerable individuals, materials unsafely, social media, an unethical, and distributing, methods for","0.689, 0.579, 0.562, 0.430, 0.414, 0.399, 0.378, 0.360, 0.326, 0.315, 0.304, 0.296, 0.290, 0.283, 0.271, 0.270, 0.265, 0.265, 0.260, 0.259",10
